Date,Close/Last,Open,High,Low
04/16/2021,14052.34,14059.11,14062.50,13977.05
04/15/2021,14038.76,13983.23,14049.13,13970.42
04/14/2021,13857.84,14005.27,14033.63,13839.04
04/13/2021,13996.10,13902.45,14011.51,13902.45
04/12/2021,13850.00,13854.44,13877.00,13783.95
04/09/2021,13900.19,13787.01,13905.41,13748.35
04/08/2021,13829.31,13796.89,13830.14,13758.71
04/07/2021,13688.84,13675.30,13733.03,13653.59
04/06/2021,13698.38,13681.67,13776.71,13674.28
04/05/2021,13705.59,13594.90,13720.58,13582.76
04/01/2021,13480.11,13414.32,13487.08,13404.18
03/31/2021,13246.87,13122.57,13325.54,13118.38
03/30/2021,13045.39,13008.80,13075.75,12922.57
03/29/2021,13059.65,13103.97,13143.41,12968.16
03/26/2021,13138.72,12996.03,13149.55,12878.72
03/25/2021,12977.68,12844.58,13021.86,12786.81
03/24/2021,12961.89,13289.24,13292.92,12961.35
03/23/2021,13227.70,13381.43,13405.14,13202.43
03/22/2021,13377.54,13278.78,13455.64,13278.78
03/19/2021,13215.24,13119.90,13252.37,13039.45
03/18/2021,13116.17,13349.20,13384.46,13101.92
03/17/2021,13525.20,13336.91,13595.00,13272.69
03/16/2021,13471.57,13523.17,13620.71,13397.08
03/15/2021,13459.71,13323.47,13460.35,13272.50
03/12/2021,13319.86,13222.81,13324.69,13158.72
03/11/2021,13398.67,13273.31,13433.62,13246.33
03/10/2021,13068.83,13234.73,13277.11,13035.44
03/09/2021,13073.82,12923.07,13151.54,12882.49
03/08/2021,12609.16,12904.26,13001.00,12599.23
03/05/2021,12920.15,12860.04,12941.21,12397.05
03/04/2021,12723.47,12953.99,13068.71,12553.96
03/03/2021,12997.75,13336.25,13372.52,12995.07
03/02/2021,13358.79,13599.45,13601.33,13352.00
03/01/2021,13588.83,13406.16,13596.59,13362.66
02/26/2021,13192.35,13192.35,13368.06,13024.53
02/25/2021,13119.43,13512.64,13602.86,13066.38
02/24/2021,13597.97,13400.25,13607.36,13286.59
02/23/2021,13465.20,13262.61,13526.09,13003.98
02/22/2021,13533.05,13714.20,13757.06,13530.96
02/19/2021,13874.46,13929.20,13985.58,13842.60
02/18/2021,13865.36,13814.67,13905.96,13714.35
02/17/2021,13965.49,13911.65,13976.43,13804.26
02/16/2021,14047.50,14152.21,14175.11,13995.45
02/12/2021,14095.47,13979.21,14102.04,13937.71
02/11/2021,14025.77,14045.21,14058.91,13916.85
02/10/2021,13972.53,14093.35,14109.12,13845.47
02/09/2021,14007.70,13966.81,14044.95,13966.55
02/08/2021,13987.64,13937.06,13987.74,13894.15
02/05/2021,13856.30,13824.88,13878.16,13761.66
02/04/2021,13777.74,13674.06,13778.42,13631.62
02/03/2021,13610.54,13718.31,13723.83,13585.34
02/02/2021,13612.78,13543.10,13652.69,13535.86
02/01/2021,13403.39,13226.18,13431.46,13132.47
01/29/2021,13070.69,13284.72,13322.00,12985.05
01/28/2021,13337.16,13323.29,13507.64,13316.52
01/27/2021,13270.60,13486.58,13538.42,13192.91
01/26/2021,13626.06,13681.72,13702.69,13603.19
01/25/2021,13635.99,13681.21,13728.98,13368.68
01/22/2021,13543.06,13474.81,13567.14,13463.66
01/21/2021,13530.91,13521.48,13560.35,13454.07
01/20/2021,13457.25,13342.55,13486.13,13329.77
01/19/2021,13197.18,13132.73,13206.86,13078.70
01/15/2021,12998.50,13099.90,13139.83,12949.76
01/14/2021,13112.64,13174.75,13220.16,13098.41
01/13/2021,13128.95,13088.01,13171.15,13051.06
01/12/2021,13072.43,13062.06,13105.04,12963.92
01/11/2021,13036.43,13048.78,13138.27,12999.51
01/08/2021,13201.98,13160.22,13208.09,13036.55
01/07/2021,13067.48,12867.34,13090.91,12867.34
01/06/2021,12740.79,12666.15,12909.63,12649.99
01/05/2021,12818.96,12665.65,12828.27,12665.65
01/04/2021,12698.45,12958.52,12958.72,12543.24
12/31/2020,12888.28,12877.09,12902.07,12821.23
12/30/2020,12870.00,12906.51,12924.93,12857.76
12/29/2020,12850.22,12965.39,12973.33,12821.96
12/28/2020,12899.42,12914.64,12930.89,12827.45
12/24/2020,12804.73,12791.54,12833.55,12767.64
12/23/2020,12771.11,12834.94,12841.92,12758.67
12/22/2020,12807.92,12785.22,12840.57,12695.31
12/21/2020,12742.52,12596.14,12751.27,12525.22
12/18/2020,12755.64,12804.93,12809.60,12654.60
12/17/2020,12764.75,12730.78,12765.25,12696.35
12/16/2020,12658.19,12611.04,12687.32,12566.38
12/15/2020,12595.06,12543.26,12596.13,12465.42
12/14/2020,12440.04,12447.44,12543.00,12432.71
12/11/2020,12377.87,12336.79,12383.50,12246.77
12/10/2020,12405.81,12247.55,12431.56,12214.74
12/09/2020,12338.95,12591.69,12607.14,12290.78
12/08/2020,12582.77,12503.17,12594.54,12453.21
12/07/2020,12519.95,12461.00,12536.23,12460.55
12/04/2020,12464.23,12399.32,12464.23,12376.44
12/03/2020,12377.18,12369.26,12439.02,12356.99
12/02/2020,12349.37,12285.75,12360.06,12217.35
12/01/2020,12355.11,12313.36,12405.79,12263.93
11/30/2020,12198.74,12224.25,12244.65,12027.16
11/27/2020,12205.85,12159.18,12236.23,12154.57
11/25/2020,12094.40,12069.34,12114.77,12020.95
11/24/2020,12037.33,11939.33,12049.88,11863.45
11/23/2020,11881.17,11916.76,11949.33,11796.53
11/20/2020,11854.97,11892.70,11935.47,11852.51
11/19/2020,11904.71,11779.04,11912.63,11760.98
11/18/2020,11801.60,11896.06,11942.49,11799.96
11/17/2020,11899.34,11913.35,11950.18,11852.41
11/16/2020,11924.13,11847.11,11937.72,11814.89
