Date,Close/Last,Volume,Open,High,Low
01/21/2021,$94.2075,58659460,$94.6825,$96.604,$93.9705
01/20/2021,$94.0035,64151400,$91.3185,$94.9862,$90.9755
01/19/2021,$89.2235,41659020,$87.15,$90.192,$86.6415
01/15/2021,$86.381,31444280,$86.451,$87.381,$85.5855
01/14/2021,$86.546,29212340,$87.4435,$88.3775,$86.3035
01/13/2021,$87.3625,23431800,$86.366,$87.8195,$86.366
01/12/2021,$86.8715,29534300,$87.268,$88.395,$85.8188
01/11/2021,$87.8145,34812360,$88.851,$89.219,$87.607
01/08/2021,$89.8915,35484520,$88.858,$89.9678,$88.061
01/07/2021,$88.717,41936580,$86.338,$88.891,$86.338
01/06/2021,$86.144,46588020,$85.0128,$87.1983,$84.8051
01/05/2021,$87.0025,20359240,$86.2545,$87.3415,$85.845
01/04/2021,$86.3065,37323900,$88.00,$88.1245,$85.357
12/31/2020,$87.632,21069580,$86.8635,$87.875,$86.8045
12/30/2020,$86.8125,21026160,$88.25,$88.388,$86.40
12/29/2020,$87.888,19725740,$89.3615,$89.4235,$87.7555
12/28/2020,$88.698,27650740,$87.2455,$89.35,$87.091
12/24/2020,$86.708,9312760,$86.45,$87.1205,$86.2175
12/23/2020,$86.4115,22973680,$86.1965,$87.2055,$86.06
12/22/2020,$86.011,20376580,$86.4665,$86.6306,$85.289
12/21/2020,$86.728,33974140,$85.4565,$86.85,$84.70
12/18/2020,$86.311,85256740,$87.3085,$87.418,$85.75
12/17/2020,$87.0255,34880100,$88.1965,$88.3355,$86.5575
12/16/2020,$87.8595,24676720,$88.4555,$88.4555,$87.453
12/15/2020,$88.054,21365840,$87.993,$88.20,$87.0835
12/14/2020,$87.613,33049420,$88.536,$89.49,$87.4565
12/11/2020,$88.74,18628620,$88.00,$88.8655,$87.637
12/10/2020,$88.3825,28688320,$88.13,$88.7495,$86.6764
12/09/2020,$88.893,31728520,$90.518,$91.4185,$88.10
12/08/2020,$90.5665,19935360,$90.426,$90.7985,$89.564
12/07/2020,$90.8515,22287820,$90.7775,$91.4645,$90.152
12/04/2020,$91.188,20544840,$91.011,$91.475,$90.6795
12/03/2020,$91.092,24727320,$91.027,$92.1915,$90.85
12/02/2020,$91.2485,29424700,$89.768,$91.637,$89.2585
12/01/2020,$89.768,37362680,$88.3328,$91.086,$88.1515
